Código;Descripción;Precio;Stock
6910LENM828GB;Ordenador Lenovo M82 SFF GRADO B (Intel Core i5 3470T 2.90GHz/8GB/120SSD/DVDRW/W7P) Preinstalado;119;2 
6910LENM8315GB;Ordenador Lenovo M83 SFF GRADO B (Intel Core i3 4130 3.4GHz/8GB/240SSD/DVD/W8P) Preinstalado;109;4 
6910LENM8321GB;Ordenador Lenovo M83 SFF GRADO B (Intel Core i3 4130 3.4GHz/8GB/240SSD/DVD/W7P) Preinstalado;109;3 
6910LENM8322GB;Ordenador Lenovo M83 SFF GRADO B (Intel Core i3 4130 3.4GHz/8GB/240SSD/NO-DVD/W7P) Preinstalado;109;1 
6910LENM8323GB;Ordenador Lenovo M83 SFF GRADO B (Intel Core i3 4130 3.4GHz/8GB/240SSD/NO-DVD/W8P) Preinstalado;109;1 
6910LENM92P9GB;Ordenador Lenovo M92p SFF GRADO B (Intel Core i5 3470 3.20GHz/4GB/500GB/DVD/W7P) Preinstalado;129;1 
6910LENM9P2GB;Ordenador Lenovo M92P SFF GRADO B (Intel Core i5 3470T 2.90GHz/8GB/120SSD/DVDRW/W7P) Preinstalado;115;10 
6910FD7562GA;Ordenador Fujitsu Esprimo D756 SFF GRADO A (Intel Core i7 6700T 2.8Ghz/16GB/256SSD/DVD/W8P) Preinstalado;259;14 
6910FD7563GA;Ordenador Fujitsu Esprimo D756 SFF GRADO A (Intel Core i7 6700T 2.8Ghz/8GB/256SSD/DVD/W8P) Preinstalado;345;1 
6910FE7201GB;Ordenador Fujitsu Esprimo E720 SFF GRADO B (Intel Core i7 4790 3.6Ghz/8GB/240SSD/W8P) Preinstalado;199;26 
6910HP600G132GB;Ordenador HP Prodesk 600 G1 SFF GRADO B  (Intel Core i7 4770 3.4GHz/8GB/240SSD/NO-DVD/W8P) Preinstalado;149;175 
6910HP600G133GB;Ordenador HP Prodesk 600 G1 SFF GRADO B  (Intel Core i7 4770S 3.1GHz/8GB/240SSD/NO-DVD/W8P) Preinstalado;149;5 
6910HPED800G121GB;Ordenador HP EliteDesk 800 G1 SFF GRADO B (Intel Core i7 4770 3.40GHz/8GB/480SSD/DVDRW/W7P) Preinstalado;179;179 
6910LENM72E5GB;Ordenador Lenovo M72e SFF GRADO B (Intel Core i7 3770 3.40GHz/8GB/120SSD/DVDRW/W7P) Preinstalado;115;65 
6910HP60053GB;Ordenador HP 6005 Elite SFF GRADO B (AMD Athlon II X2 B24 3.0Ghz/4GB/120SSD/DVD/W7P) Preinstalado;55;1 
6910HP705G12GB;Ordenador HP 705 G1 SFF GRADO B (AMD A6 7400B 3.5GHz/4GB/120SSD/DVD/W8P) Preinstalado;85;2 
6910HP705G15GB;Ordenador HP 705 G1 SFF GRADO B (AMD A6 7400B 3.5GHz/4GB/120SSD/DVD/W7P) Preinstalado;85;1 
